MONTH_DT,REGION,SALES_VALUE,INTERACTION_CHANNEL,NUMBER_OF_INTERACTIONS
2023-01-01,North,171958,Email,16795
2023-01-01,North,171958,Social,1860
2023-01-01,North,171958,Display,39158
2023-01-01,North,171958,Search,45732
2023-01-01,North,171958,TV,12284
2023-02-01,North,104886,Email,7265
2023-02-01,North,104886,Social,17850
2023-02-01,North,104886,Display,38194
2023-02-01,North,104886,Search,22962
2023-02-01,North,104886,TV,48191
2023-03-01,North,176324,Email,45131
2023-03-01,North,176324,Social,17023
2023-03-01,North,176324,Display,42090
2023-03-01,North,176324,Search,2685
2023-03-01,North,176324,TV,1769
2023-04-01,North,109735,Email,3433
2023-04-01,North,109735,Social,6311
2023-04-01,North,109735,Display,38819
2023-04-01,North,109735,Search,40188
2023-04-01,North,109735,TV,18568
2023-05-01,North,135305,Email,29693
2023-05-01,North,135305,Social,7396
2023-05-01,North,135305,Display,28480
2023-05-01,North,135305,Search,42434
2023-05-01,North,135305,TV,26658
2023-06-01,North,134478,Email,19431
2023-06-01,North,134478,Social,3747
2023-06-01,North,134478,Display,1189
2023-06-01,North,134478,Search,20118
2023-06-01,North,134478,TV,36773
2023-07-01,North,169346,Email,2899
2023-07-01,North,169346,Social,2267
2023-07-01,North,169346,Display,32551
2023-07-01,North,169346,Search,12394
2023-07-01,North,169346,TV,4556
2023-08-01,North,53890,Email,42606
2023-08-01,North,53890,Social,31740
2023-08-01,North,53890,Display,15502
2023-08-01,North,53890,Search,22777
2023-08-01,North,53890,TV,11627
2023-09-01,North,58792,Email,44323
2023-09-01,North,58792,Social,44021
2023-09-01,North,58792,Display,9433
2023-09-01,North,58792,Search,44001
2023-09-01,North,58792,TV,12016
2023-10-01,North,118148,Email,24483
2023-10-01,North,118148,Social,49555
2023-10-01,North,118148,Display,18159
2023-10-01,North,118148,Search,45974
2023-10-01,North,118148,TV,41994
2023-11-01,North,130077,Email,36920
2023-11-01,North,130077,Social,27531
2023-11-01,North,130077,Display,2585
2023-11-01,North,130077,Search,4943
2023-11-01,North,130077,TV,24939
2023-12-01,North,69457,Email,2021
2023-12-01,North,69457,Social,12653
2023-12-01,North,69457,Display,44573
2023-12-01,North,69457,Search,14417
2023-12-01,North,69457,TV,41757
2024-01-01,North,59692,Email,46758
2024-01-01,North,59692,Social,7873
2024-01-01,North,59692,Display,6675
2024-01-01,North,59692,Search,1161
2024-01-01,North,59692,TV,38065
2024-02-01,North,149299,Email,33606
2024-02-01,North,149299,Social,12534
2024-02-01,North,149299,Display,30127
2024-02-01,North,149299,Search,41397
2024-02-01,North,149299,TV,26851
2024-03-01,North,51016,Email,25253
2024-03-01,North,51016,Social,25276
2024-03-01,North,51016,Display,24247
2024-03-01,North,51016,Search,25300
2024-03-01,North,51016,TV,9529
2024-04-01,North,132798,Email,10268
2024-04-01,North,132798,Social,22271
2024-04-01,North,132798,Display,13185
2024-04-01,North,132798,Search,22243
2024-04-01,North,132798,TV,40099
2024-05-01,North,189643,Email,40976
2024-05-01,North,189643,Social,39044
2024-05-01,North,189643,Display,49984
2024-05-01,North,189643,Search,41774
2024-05-01,North,189643,TV,3568
2024-06-01,North,170151,Email,3027
2024-06-01,North,170151,Social,3695
2024-06-01,North,170151,Display,49190
2024-06-01,North,170151,Search,6258
2024-06-01,North,170151,TV,23002
2024-07-01,North,89504,Email,34159
2024-07-01,North,89504,Social,14986
2024-07-01,North,89504,Display,13666
2024-07-01,North,89504,Search,39660
2024-07-01,North,89504,TV,4561
2024-08-01,North,76854,Email,39952
2024-08-01,North,76854,Social,23662
2024-08-01,North,76854,Display,9392
2024-08-01,North,76854,Search,31535
2024-08-01,North,76854,TV,14067
2024-09-01,North,163569,Email,24599
2024-09-01,North,163569,Social,36222
2024-09-01,North,163569,Display,12837
2024-09-01,North,163569,Search,15039
2024-09-01,North,163569,TV,31818
2024-10-01,North,60965,Email,25538
2024-10-01,North,60965,Social,43530
